	Fibonacci	By Iteration	Time	by Recursion	 Time
		1			1						1.084			1				0.791
		2			2						0.416			1				0.375
		3			3						0.375			2				0.375
		4			5						0.333			3				0.458
		5			8						0.291			5				0.583
		6			13						0.292			8				0.833
		7			21						0.333			13				1.166
		8			34						0.375			21				2.125
		9			55						0.375			34				4.958
		10			89						0.417			55				4.792
		11			144						0.375			89				7.708
		12			233						0.417			144				12.042
		13			377						0.375			233				19.208
		14			610						0.417			377				30.833
		15			987						0.375			610				10.834
		16			1597						0.333			987				10.709
		17			2584						0.375			1597				14.084
		18			4181						0.417			2584				21.709
		19			6765						0.417			4181				35.542
		20			10946						0.459			6765				55.875
		21			17711						0.375			10946				95.291
		22			28657						0.375			17711				94.375
		23			46368						0.375			28657				111.292
		24			75025						0.416			46368				179.459
		25			121393						0.417			75025				276.25
		26			196418						0.417			121393				437.958
		27			317811						0.417			196418				710.917
		28			514229						0.375			317811				1148.375
		29			832040						0.375			514229				1856.291
		30			1346269						0.375			832040				3108.375
		31			2178309						0.417			1346269				5046.834
		32			3524578						0.792			2178309				8240.583
		33			5702887						0.458			3524578				13325.583
		34			9227465						0.666			5702887				21279.875
		35			14930352						0.625			9227465				33634.834
		36			24157817						0.541			14930352				53990.959
		37			39088169						0.5			24157817				87250.125
		38			63245986						0.625			39088169				141351.5
		39			102334155						0.583			63245986				228341.542
		40			165580141						0.5			102334155				369603.125
		41			267914296						0.666			165580141				598373.667
		42			433494437						0.833			267914296				969041.75
		43			701408733						0.708			433494437				1567583.5
